Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01102.bmp, PSNR, 25.859567, SSIM, 0.642921 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01112.bmp, PSNR, 24.372718, SSIM, 0.587398 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01792.bmp, PSNR, 28.902427, SSIM, 0.716245 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01847.bmp, PSNR, 24.297300, SSIM, 0.727393 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01888.bmp, PSNR, 28.830592, SSIM, 0.734524 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02309.bmp, PSNR, 29.893260, SSIM, 0.728036 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02514.bmp, PSNR, 21.744855, SSIM, 0.556954 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02515.bmp, PSNR, 26.273234, SSIM, 0.526667 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03143.bmp, PSNR, 24.933404, SSIM, 0.737666 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03152.bmp, PSNR, 25.453247, SSIM, 0.681530 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03168.bmp, PSNR, 22.098933, SSIM, 0.451848 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03584.bmp, PSNR, 23.913492, SSIM, 0.641781 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03848.bmp, PSNR, 31.863691, SSIM, 0.775313 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03896.bmp, PSNR, 30.944605, SSIM, 0.765470 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04224.bmp, PSNR, 20.269937, SSIM, 0.530701 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 04474.bmp, PSNR, 25.484495, SSIM, 0.705261 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00524.bmp, PSNR, 28.022192, SSIM, 0.726013 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00548.bmp, PSNR, 30.466863, SSIM, 0.784975 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 00794.bmp, PSNR, 27.700842, SSIM, 0.774201 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01078.bmp, PSNR, 25.691953, SSIM, 0.783544 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01102.bmp, PSNR, 27.316567, SSIM, 0.712258 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01112.bmp, PSNR, 25.696531, SSIM, 0.667137 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01792.bmp, PSNR, 30.348779, SSIM, 0.781881 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01847.bmp, PSNR, 25.653121, SSIM, 0.784915 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 01888.bmp, PSNR, 30.083394, SSIM, 0.788324 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 02309.bmp, PSNR, 31.006535, SSIM, 0.774658 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 02514.bmp, PSNR, 22.823483, SSIM, 0.635391 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 02515.bmp, PSNR, 27.677649, SSIM, 0.617973 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 03143.bmp, PSNR, 25.880571, SSIM, 0.770518 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 03152.bmp, PSNR, 26.665541, SSIM, 0.741521 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 03168.bmp, PSNR, 22.906396, SSIM, 0.501940 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 03584.bmp, PSNR, 25.433429, SSIM, 0.723436 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 03848.bmp, PSNR, 32.833124, SSIM, 0.810537 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 03896.bmp, PSNR, 31.729000, SSIM, 0.793458 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 04224.bmp, PSNR, 21.480356, SSIM, 0.620478 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.250000, Image_name, 04474.bmp, PSNR, 26.844140, SSIM, 0.762812 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 00524.bmp, PSNR, 28.938702, SSIM, 0.760399 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 00548.bmp, PSNR, 31.207963, SSIM, 0.814384 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 00794.bmp, PSNR, 28.526178, SSIM, 0.800066 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 01078.bmp, PSNR, 26.758911, SSIM, 0.814174 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 01102.bmp, PSNR, 28.055537, SSIM, 0.744581 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 01112.bmp, PSNR, 26.873408, SSIM, 0.731124 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 01792.bmp, PSNR, 31.190868, SSIM, 0.813725 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 01847.bmp, PSNR, 26.608841, SSIM, 0.816570 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 01888.bmp, PSNR, 30.832908, SSIM, 0.812513 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 02309.bmp, PSNR, 31.613161, SSIM, 0.796098 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 02514.bmp, PSNR, 23.699919, SSIM, 0.695153 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 02515.bmp, PSNR, 28.323845, SSIM, 0.656261 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 03143.bmp, PSNR, 26.641617, SSIM, 0.790957 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 03152.bmp, PSNR, 27.911847, SSIM, 0.788087 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 03168.bmp, PSNR, 23.506174, SSIM, 0.532154 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 03584.bmp, PSNR, 26.378565, SSIM, 0.765456 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 03848.bmp, PSNR, 33.580497, SSIM, 0.836435 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 03896.bmp, PSNR, 32.456424, SSIM, 0.818807 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 04224.bmp, PSNR, 22.470240, SSIM, 0.682426 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.300000, Image_name, 04474.bmp, PSNR, 27.735276, SSIM, 0.795953 
