Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 32.004552, SSIM, 0.894713 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 39.862788, SSIM, 0.960280 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 37.152387, SSIM, 0.920225 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 36.264501, SSIM, 0.951212 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 7.tif, PSNR, 34.713397, SSIM, 0.959409 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 8.tif, PSNR, 37.054423, SSIM, 0.947069 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 1.tif, PSNR, 34.551678, SSIM, 0.951885 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 2.tif, PSNR, 36.470242, SSIM, 0.953747 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 3.tif, PSNR, 32.937167, SSIM, 0.905039 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 4.tif, PSNR, 41.139381, SSIM, 0.968652 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 5.tif, PSNR, 38.132445, SSIM, 0.935309 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 6.tif, PSNR, 37.896396, SSIM, 0.962590 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 7.tif, PSNR, 36.837191, SSIM, 0.969809 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.250000, Image_name, 8.tif, PSNR, 38.461175, SSIM, 0.958053 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 1.tif, PSNR, 36.031724, SSIM, 0.962442 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 2.tif, PSNR, 37.789567, SSIM, 0.963896 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 3.tif, PSNR, 34.047424, SSIM, 0.919439 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 4.tif, PSNR, 42.172683, SSIM, 0.973995 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 5.tif, PSNR, 39.080508, SSIM, 0.945830 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 6.tif, PSNR, 39.262691, SSIM, 0.970248 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 7.tif, PSNR, 38.301212, SSIM, 0.975277 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.300000, Image_name, 8.tif, PSNR, 39.564132, SSIM, 0.964274 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 1.tif, PSNR, 23.034248, SSIM, 0.592258 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 2.tif, PSNR, 26.234305, SSIM, 0.754649 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 3.tif, PSNR, 26.623784, SSIM, 0.788409 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 4.tif, PSNR, 33.686672, SSIM, 0.896613 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 5.tif, PSNR, 32.538436, SSIM, 0.853195 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 6.tif, PSNR, 27.558342, SSIM, 0.802773 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 7.tif, PSNR, 25.548523, SSIM, 0.811622 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.050000, Image_name, 8.tif, PSNR, 29.791977, SSIM, 0.856674 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 1.tif, PSNR, 26.552805, SSIM, 0.777257 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 2.tif, PSNR, 30.433489, SSIM, 0.868480 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 3.tif, PSNR, 29.297120, SSIM, 0.844828 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 4.tif, PSNR, 36.728105, SSIM, 0.933642 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 5.tif, PSNR, 35.018094, SSIM, 0.883644 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 6.tif, PSNR, 31.486677, SSIM, 0.895049 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 7.tif, PSNR, 29.719821, SSIM, 0.903239 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.100000, Image_name, 8.tif, PSNR, 33.533766, SSIM, 0.909870 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 1.tif, PSNR, 29.835553, SSIM, 0.884317 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 2.tif, PSNR, 33.390447, SSIM, 0.922427 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 3.tif, PSNR, 30.777539, SSIM, 0.873231 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 4.tif, PSNR, 38.731037, SSIM, 0.951348 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 5.tif, PSNR, 36.241339, SSIM, 0.902199 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 6.tif, PSNR, 34.245354, SSIM, 0.931021 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 7.tif, PSNR, 32.626798, SSIM, 0.943789 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.150000, Image_name, 8.tif, PSNR, 35.590004, SSIM, 0.933996 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 1.tif, PSNR, 32.261585, SSIM, 0.922966 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 2.tif, PSNR, 35.348340, SSIM, 0.944716 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 3.tif, PSNR, 33.239195, SSIM, 0.919304 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 4.tif, PSNR, 40.232877, SSIM, 0.963461 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 5.tif, PSNR, 37.370490, SSIM, 0.924488 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 6.tif, PSNR, 36.233926, SSIM, 0.951092 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 7.tif, PSNR, 34.810727, SSIM, 0.960196 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.200000, Image_name, 8.tif, PSNR, 37.300825, SSIM, 0.949000 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 1.tif, PSNR, 34.751899, SSIM, 0.954319 
Denoiser, DnCNN_20Layers_3x3_17cases, Rate, 0.250000, Image_name, 2.tif, PSNR, 36.696410, SSIM, 0.956733 
