RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00171.bmp, 27.726079, 0.766593 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00173.bmp, 22.795786, 0.493942 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00180.bmp, 18.077270, 0.465469 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00598.bmp, 23.949238, 0.593909 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00602.bmp, 23.333785, 0.523887 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00604.bmp, 22.298306, 0.462069 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00741.bmp, 20.954297, 0.423323 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00790.bmp, 25.297193, 0.728208 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00880.bmp, 20.320231, 0.440300 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00892.bmp, 17.251970, 0.394441 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00986.bmp, 25.450665, 0.615722 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01544.bmp, 18.095006, 0.467677 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01594.bmp, 21.644698, 0.446660 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03266.bmp, 31.748997, 0.795619 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03275.bmp, 21.155588, 0.478075 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03499.bmp, 31.388408, 0.773128 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03906.bmp, 25.730631, 0.613474 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04076.bmp, 21.292047, 0.439885 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04519.bmp, 17.735999, 0.346727 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04735.bmp, 27.013856, 0.704195 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00170.bmp, 25.440732, 0.615289 
