RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01792.bmp, 27.640613, 0.695865 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01847.bmp, 20.213570, 0.509641 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01888.bmp, 28.191519, 0.752392 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02309.bmp, 25.798416, 0.633186 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02514.bmp, 19.290505, 0.332301 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02515.bmp, 25.527920, 0.492021 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03143.bmp, 18.641246, 0.430964 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03152.bmp, 21.552979, 0.413301 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03168.bmp, 20.015088, 0.309853 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03584.bmp, 20.299772, 0.420779 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03848.bmp, 30.703128, 0.821031 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03896.bmp, 29.095139, 0.754058 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04224.bmp, 17.727083, 0.321287 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04474.bmp, 21.054033, 0.444754 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00171.bmp, 23.391833, 0.560053 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00173.bmp, 20.863603, 0.385657 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00180.bmp, 16.077318, 0.287843 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00598.bmp, 21.403043, 0.489423 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00602.bmp, 23.534413, 0.546604 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00604.bmp, 23.212676, 0.522093 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00741.bmp, 19.600850, 0.361077 
