RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02309.bmp, 19.456461, 0.244506 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02514.bmp, 17.945331, 0.242158 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02515.bmp, 22.102653, 0.292493 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03143.bmp, 14.828266, 0.213745 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03152.bmp, 19.187878, 0.274043 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03168.bmp, 18.810273, 0.258247 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03584.bmp, 17.911822, 0.261718 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03848.bmp, 21.275515, 0.303065 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03896.bmp, 20.935150, 0.296094 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04224.bmp, 16.197559, 0.229174 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04474.bmp, 17.680284, 0.257008 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00171.bmp, 17.260438, 0.234257 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00173.bmp, 17.417399, 0.234695 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00180.bmp, 15.575442, 0.229866 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00598.bmp, 16.513421, 0.216932 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00602.bmp, 18.855893, 0.253086 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00604.bmp, 18.799233, 0.253899 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00741.bmp, 18.037252, 0.259855 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00790.bmp, 17.345721, 0.239406 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00880.bmp, 15.359092, 0.183125 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00892.bmp, 13.998431, 0.204259 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00986.bmp, 19.658888, 0.270759 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01544.bmp, 13.289133, 0.186135 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01594.bmp, 17.017690, 0.235020 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03266.bmp, 19.432137, 0.231571 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03275.bmp, 16.539289, 0.229563 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03499.bmp, 21.988344, 0.308725 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03906.bmp, 18.987548, 0.229620 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04076.bmp, 17.364771, 0.249636 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04519.bmp, 15.611824, 0.212589 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04735.bmp, 18.640498, 0.286302 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00170.bmp, 18.207168, 0.256983 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00228.bmp, 21.290117, 0.236800 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00232.bmp, 17.973623, 0.260093 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00242.bmp, 21.274863, 0.302495 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00244.bmp, 17.614448, 0.246654 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00246.bmp, 20.372348, 0.273426 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00249.bmp, 16.336456, 0.215708 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00258.bmp, 16.150324, 0.200662 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00415.bmp, 14.666539, 0.205031 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00471.bmp, 18.635073, 0.279043 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00559.bmp, 17.908846, 0.250770 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00560.bmp, 15.804049, 0.200442 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00733.bmp, 15.864206, 0.187607 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01279.bmp, 15.453839, 0.200985 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01790.bmp, 14.037529, 0.216217 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03133.bmp, 18.331726, 0.265030 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03349.bmp, 18.200424, 0.263121 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03407.bmp, 17.313722, 0.238981 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03784.bmp, 18.576869, 0.291182 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04702.bmp, 14.654710, 0.211110 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,1.tif, 18.988725, 0.282847 
